category,count
SCIENCE,1594
HISTORY,1497
AMERICAN HISTORY,1424
LITERATURE,1417
POTPOURRI,1327
SPORTS,1292
BUSINESS & INDUSTRY,1221
WORLD GEOGRAPHY,1206
WORD ORIGINS,1158
WORLD HISTORY,1151
RELIGION,1139
TRANSPORTATION,1048
ANIMALS,1027
BOOKS & AUTHORS,987
ART,956
U.S. CITIES,934
GEOGRAPHY,929
LANGUAGES,913
BODIES OF WATER,908
COLLEGES & UNIVERSITIES,905
MYTHOLOGY,892
AUTHORS,888
U.S. HISTORY,882
THE BIBLE,880
FOOD,869
U.S. GEOGRAPHY,865
OPERA,811
WORLD CAPITALS,808
BEFORE & AFTER,799
TELEVISION,798
ISLANDS,796
STATE CAPITALS,757
BIOLOGY,755
CLASSICAL MUSIC,730
PEOPLE,719
HODGEPODGE,718
SHAKESPEARE,712
MUSIC,695
COMPOSERS,682
WORLD CITIES,681
MUSEUMS,674
FOOD & DRINK,673
HOLIDAYS & OBSERVANCES,666
THE CIVIL WAR,665
NONFICTION,662
THE MOVIES,660
FICTIONAL CHARACTERS,654
TRAVEL & TOURISM,639
HISTORIC NAMES,637
RHYME TIME,636
